participantID,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
4a1899,1727.616,30,Canada,Canada,DATA EXPIRED,English,English,Italy,Female,DATA EXPIRED
fe06b6,2831.225,45,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Spanish, Portuguese",Portugal,Male,No
6c3ec2,2858.462,21,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
301a2a,1306.449,23,Philippines,United Kingdom,Full-Time,English,"English, Tagalog-Filipino",United Kingdom,Female,No
9c8622,3161.586,23,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Male,No
60a48b,4016.733,21,Poland,Poland,Other,Polish,"English, Polish",Poland,Male,Yes
49a867,3876.274,23,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
00e8dc,2694.109,20,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
7fd675,1940.589,29,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese, Spanish",Portugal,Male,DATA EXPIRED
bd6835,2674.145,,Poland,Poland,DATA EXPIRED,Polish,"English, French, Polish",Poland,Female,Yes
22ab7e,6228.587,24,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
fb9931,3418.895,23,Mexico,Mexico,Full-Time,Spanish,"English, Spanish, Portuguese",Mexico,Female,Yes
704550,2817.461,20,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,Yes
f4bb03,3917.884,24,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
db91ff,4207.309,22,Mexico,Mexico,Other,Spanish,"Spanish, English",Mexico,Female,Yes
1684cc,5495.359,22,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
05ea13,1761.152,23,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
e752cb,4277.117,21,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,Yes
05b90c,3113.839,20,Portugal,Portugal,Other,Portuguese,"English, Spanish, Portuguese",Portugal,Male,Yes
eaac63,2979.058,27,Chile,Chile,Part-Time,Spanish,"English, Spanish",Chile,Female,Yes